"INF_PREK";"PREFSTOCK";"Kaina";"LMKaina"
"A002540";"PC1";19.87;19.87
"A002541";"PC1";10.14;10.14
"A003027";"PC1";8.19;8.19
"C000057";"PC1";28.99;28.99
"C000117";"PC1";36.99;36.99
"C000145";"PC1";1.49;1.49
"C000561";"PC1";3.59;3.59
"C000830";"PC1";11.99;11.99
"C000845";"PC1";129.00;129.00
"C000865";"PC1";6.59;6.59
"C001055";"PC1";2.79;2.79
"C001077";"PC1";1.89;1.89
"C001152";"PC1";4.79;4.79
"C001579";"PC1";2.29;2.29
"C001665";"PC1";21.35;21.35
"C003693";"PC1";19.99;19.99
"C003969";"PC1";3.29;3.29
"C004170";"PC1";11.35;11.35
"C004218";"PC1";11.35;11.35
"C004473";"PC1";7.49;7.49
"C004486";"PC1";5.85;5.85
"C004647";"PC1";1.65;1.65
"C004966";"PC1";1.19;1.19
"C006653";"PC1";0.89;0.89
"C007506";"PC1";2.19;2.19
"C007665";"PC1";79.99;79.99
"C008097";"PC1";2.58;2.58
"C008107";"PC1";2.76;2.76
"C008694";"PC1";1.85;1.85
"C010156";"PC1";3.99;3.99
"C010157";"PC1";3.99;3.99
"C010182";"PC1";5.19;5.19
"C010811";"PC1";1.51;1.51
"C010812";"PC1";1.51;1.51
"C010831";"PC1";1.75;1.75
"C011387";"PC1";1.15;1.15
"C011405";"PC1";4.59;4.59
"C011647";"PC1";4.86;4.86
"C011858";"PC1";34.49;34.49
"C012242";"PC1";1.98;1.98
"C012249";"PC1";1.89;1.89
"C012322";"PC1";2.59;2.59
"C015746";"PC1";12.99;12.99
"C016324";"PC1";8.99;8.99
"C016899";"PC1";0.97;0.97
"C016902";"PC1";2.07;2.07
"C016903";"PC1";0.97;0.97
"C016909";"PC1";1.04;1.04
"C017001";"PC1";4.39;4.39
"C017003";"PC1";3.99;3.99
"C017004";"PC1";4.39;4.39
"C017010";"PC1";3.73;3.73
"C017949";"PC1";5.69;5.69
"C017950";"PC1";6.99;6.99
"C017952";"PC1";5.89;5.89
"C018355";"PC1";26.17;26.17
"C018677";"PC1";17.66;17.66
"C020087";"PC1";1.07;1.07
"C021290";"PC1";60.99;60.99
"C021376";"PC1";1.64;1.64
"C021536";"PC1";3.05;3.05
"C022408";"PC1";0.96;0.96
"C022410";"PC1";2.19;2.19
"C022411";"PC1";2.19;2.19
"C022412";"PC1";1.74;1.74
"C022413";"PC1";2.81;2.81
"C022414";"PC1";1.16;1.16
"C022416";"PC1";1.16;1.16
"C022418";"PC1";1.74;1.74
"C022984";"PC1";9.98;9.98
"C023009";"PC1";26.93;26.93
"C023018";"PC1";7.87;7.87
"C023037";"PC1";17.60;17.60
"C023665";"PC1";5.65;5.65
"C024035";"PC1";49.99;49.99
"C024036";"PC1";59.99;59.99
"C024077";"PC1";29.99;29.99
"C024126";"PC1";7.81;7.81
"C045130";"PC1";12.67;12.67
"C04599B";"PC1";2.35;2.35
"C04599C";"PC1";1.55;1.55
"C04599D";"PC1";1.55;1.55
"C046011";"PC1";10.96;10.96
"C046177";"PC1";0.99;0.99
"C046421";"PC1";6.49;6.49
"C046422";"PC1";7.15;7.15
"C04659A";"PC1";2.25;2.25
"C04659B";"PC1";2.39;2.39
"C046914";"PC1";1.05;1.05
"C047396";"PC1";1.28;1.28
"C047542";"PC1";3.37;3.37
"C047985";"PC1";4.99;4.99
"C048201";"PC1";3.26;3.26
"C048202";"PC1";3.26;3.26
"C048204";"PC1";1.26;1.26
"C048206";"PC1";1.26;1.26
"C048452";"PC1";1.32;1.32
"C048540";"PC1";3.32;3.32
"C048587";"PC1";21.39;21.39
"C048611";"PC1";0.51;0.51
"C048616";"PC1";11.19;11.19
"C048648";"PC1";2.89;2.89
"C048832";"PC1";3.49;3.49
"C048833";"PC1";3.35;3.35
"C049193";"PC1";21.49;21.49
"C049531";"PC1";2.79;2.79
"C049570";"PC1";39.99;39.99
"C049750";"PC1";3.85;3.85
"C050195";"PC1";3.79;3.79
"C050209";"PC1";12.99;12.99
"C050229";"PC1";7.56;7.56
"C050393";"PC1";42.99;42.99
"C050578";"PC1";16.99;16.99
"C050674";"PC1";16.99;16.99
"C050837";"PC1";9.49;9.49
"C050943";"PC1";11.27;11.27
"C050946";"PC1";12.44;12.44
"C051125";"PC1";3.69;3.69
"C051484";"PC1";36.99;36.99
"C051610";"PC1";3.32;3.32
"C051851";"PC1";2.39;2.39
"C051855";"PC1";2.55;2.55
"C052207";"PC1";4.31;4.31
"C052276";"PC1";3.69;3.69
"C052409";"PC1";3.28;3.28
"C052410";"PC1";6.99;6.99
"C052411";"PC1";7.89;7.89
"C052429";"PC1";1.57;1.57
"C052580";"PC1";35.29;35.29
"C052588";"PC1";17.99;17.99
"C052611";"PC1";0.29;0.29
"C052613";"PC1";0.29;0.29
"C052735";"PC1";7.79;7.79
"C052797";"PC1";3.55;3.55
"C052804";"PC1";1.09;1.09
"C052811";"PC1";0.99;0.99
"C052838";"PC1";4.65;4.65
"C052983";"PC1";2.95;2.95
"C053055";"PC1";3.29;3.29
"C053056";"PC1";3.29;3.29
"C053090";"PC1";27.99;27.99
"C053162";"PC1";2.55;2.55
"C053300";"PC1";4.32;4.32
"C053370";"PC1";5.89;5.89
"C053554";"PC1";17.26;17.26
"C053556";"PC1";24.07;24.07
"C053559";"PC1";24.07;24.07
"C053560";"PC1";12.98;12.98
"C053565";"PC1";13.15;13.15
"C053566";"PC1";16.59;16.59
"C053676";"PC1";3.59;3.59
"C053677";"PC1";3.59;3.59
"C053686";"PC1";6.59;6.59
"C053692";"PC1";21.49;21.49
"C053698";"PC1";21.53;21.53
"C053821";"PC1";2.85;2.85
"C053872";"PC1";13.99;13.99
"C053873";"PC1";13.99;13.99
"C053898";"PC1";3.29;3.29
"C053940";"PC1";5.69;5.69
"C053967";"PC1";5.29;5.29
"C054051";"PC1";4.39;4.39
"C054106";"PC1";0.89;0.89
"C054108";"PC1";0.89;0.89
"C054113";"PC1";7.42;7.42
"C054179";"PC1";5.14;5.14
"C054339";"PC1";16.99;16.99
"C054340";"PC1";16.99;16.99
"C054373";"PC1";12.99;12.99
"C054374";"PC1";12.99;12.99
"C054378";"PC1";34.69;34.69
"C054396";"PC1";4.69;4.69
"C054397";"PC1";4.69;4.69
"C054398";"PC1";4.49;4.49
"C054464";"PC1";3.99;3.99
"C054467";"PC1";14.99;14.99
"C054524";"PC1";2.09;2.09
"C054525";"PC1";2.09;2.09
"C054526";"PC1";1.85;1.85
"C054532";"PC1";6.99;6.99
"C054859";"PC1";13.15;13.15
"C054860";"PC1";10.35;10.35
"C054864";"PC1";10.35;10.35
"C054909";"PC1";1.49;1.49
