"INF_PREK";"PC1"
"A002540";4.000
"A002541";3.000
"A003027";5.000
"C000057";10.000
"C000117";9.000
"C000145";35.000
"C000561";22.000
"C000830";45.000
"C000845";7.000
"C000865";19.000
"C001055";10.000
"C001077";35.000
"C001152";10.000
"C001579";15.000
"C001665";60.000
"C003693";11.000
"C003969";32.000
"C004170";24.000
"C004218";40.000
"C004473";15.000
"C004486";18.000
"C004647";23.000
"C004966";14.000
"C006653";72.000
"C007506";28.000
"C007665";10.000
"C008097";9.000
"C008107";9.000
"C008694";39.000
"C010156";13.000
"C010157";10.000
"C010182";12.000
"C010811";43.000
"C010812";17.000
"C010831";47.000
"C011387";45.000
"C011405";17.000
"C011647";9.000
"C011858";6.000
"C012242";9.000
"C012249";15.000
"C012322";25.000
"C015746";43.000
"C016324";8.000
"C016899";384.000
"C016902";48.000
"C016903";51.000
"C016909";64.000
"C017001";47.000
"C017003";27.000
"C017004";40.000
"C017010";16.000
"C017949";10.000
"C017950";11.000
"C017952";9.000
"C018355";6.000
"C018677";5.000
"C020087";22.000
"C021290";6.000
"C021376";91.000
"C021536";15.000
"C022408";16.000
"C022410";9.000
"C022411";17.000
"C022412";35.000
"C022413";14.000
"C022414";13.000
"C022416";12.000
"C022418";9.000
"C022984";3.000
"C023009";5.000
"C023018";5.000
"C023037";8.000
"C023665";43.000
"C024035";4.000
"C024036";4.000
"C024077";4.000
"C024126";8.000
"C045130";11.000
"C04599B";32.000
"C04599C";33.000
"C04599D";31.000
"C046011";9.000
"C046177";28.000
"C046421";41.000
"C046422";17.000
"C04659A";42.000
"C04659B";57.000
"C046914";225.000
"C047396";12.000
"C047542";11.000
"C047985";5.000
"C048201";18.000
"C048202";23.000
"C048204";18.000
"C048206";6.000
"C048452";34.000
"C048540";53.000
"C048587";4.820
"C048611";45.000
"C048616";5.000
"C048648";18.000
"C048832";40.000
"C048833";88.000
"C049193";9.000
"C049531";20.000
"C049570";4.000
"C049750";24.000
"C050195";30.000
"C050209";11.000
"C050229";14.000
"C050393";9.000
"C050578";9.000
"C050674";9.000
"C050837";33.000
"C050943";6.000
"C050946";8.000
"C051125";9.000
"C051484";10.000
"C051610";63.000
"C051851";17.000
"C051855";13.000
"C052207";11.000
"C052276";24.000
"C052409";10.000
"C052410";11.000
"C052411";20.000
"C052429";41.000
"C052580";11.000
"C052588";13.000
"C052611";96.000
"C052613";90.000
"C052735";25.000
"C052797";12.000
"C052804";40.000
"C052811";59.000
"C052838";13.000
"C052983";20.000
"C053055";21.000
"C053056";17.000
"C053090";8.000
"C053162";31.000
"C053300";3.000
"C053370";15.000
"C053554";3.000
"C053556";5.000
"C053559";3.000
"C053560";5.000
"C053565";7.000
"C053566";5.000
"C053676";18.000
"C053677";28.000
"C053686";6.000
"C053692";8.000
"C053698";4.000
"C053821";10.000
"C053872";11.000
"C053873";14.000
"C053898";19.000
"C053940";8.000
"C053967";4.000
"C054051";14.000
"C054106";126.000
"C054108";33.000
"C054113";9.000
"C054179";6.000
"C054339";11.000
"C054340";12.000
"C054373";10.000
"C054374";14.000
"C054378";6.000
"C054396";25.000
"C054397";14.000
"C054398";21.000
"C054464";18.000
"C054467";8.000
"C054524";9.000
"C054525";11.000
"C054526";14.000
"C054532";11.000
"C054859";9.000
"C054860";7.000
"C054864";10.000
"C054909";18.000
"C054910";34.000
"C054911";35.000
"C054912";28.000
"C054913";67.000
"C055018";36.000
"C055114";23.000
"C055218";10.000
"C055267";15.000
"C055270";40.000
"C055365";15.000
"C055368";43.000
"C055578";34.000
"C055640";6.000
"C055652";7.000
"C055869";10.000
"C056022";13.000
"C056023";11.000
"C056035";7.000
"C056222";12.000
"C056396";33.000
"C056397";13.000
"C056497";6.000
"C056585";22.000
"C056594";16.000
"C056597";7.000
"C056599";10.000
"C056643";6.000
"C056798";19.000
"C056799";11.000
"C056805";19.000
"C056853";12.000
"C056862";11.000
"C056863";11.000
"C056866";25.000
"C056868";12.000
"C056901";9.000
"C056902";12.000
"C056932";9.000
"C057045";7.000
"C057072";20.000
"C057146";24.000
"C057147";34.000
"C057269";9.000
"C057294";16.000
"C057325";12.000
"C057326";33.000
"C057327";26.000
"C057328";10.000
"C057329";18.000
"C057330";28.000
"C057331";18.000
"C057332";14.000
"C057333";10.000
"C057334";546.000
"C057335";33.000
"C057337";255.000
"C057338";41.000
"C057339";289.000
"C057340";73.000
"C057341";49.000
"C057342";39.000
"C057343";82.000
"C057344";37.000
"C057345";166.000
"C057346";429.000
"C057347";94.000
"C057360";83.000
"C057361";33.000
"C057362";13.000
"C057363";38.000
"C057364";30.000
"C057365";51.000
"C057400";84.000
"C057480";19.000
"C057482";21.000
"C057483";17.000
"C057484";18.000
"C057501";12.000
"C057521";26.000
"C057554";19.000
"C057555";17.000
"C057557";15.000
"C057573";18.000
"C057574";7.000
"C057575";15.000
"C057576";14.000
"C057577";16.000
"C057578";21.000
"C057579";15.000
"C057580";13.000
"C057581";7.000
"C057582";12.000
"C057583";9.000
"C057584";11.000
"C057585";14.000
"C057586";13.000
"C057587";18.000
"C057588";8.000
"C057589";6.000
"C057591";12.000
"C057592";6.000
"C057593";7.000
"C057594";6.000
"C057595";9.000
"C057597";9.000
"C057598";16.000
"C057623";21.000
"C057636";4.000
"C057637";5.000
"C057669";15.000
"C057670";18.000
"C057744";26.000
"C057748";9.000
"C057749";11.000
"C057753";12.000
"C057754";9.000
"C057755";11.000
"C057756";16.000
"C057757";16.000
"C057758";11.000
"C057760";7.000
"C057765";8.000
"C057790";1355.000
"C057791";260.000
"C057792";209.000
"C057793";244.000
"C057795";10.000
"C057835";7.000
"C057844";26.000
"C057874";32.000
"C057875";32.000
"C057876";33.000
"C057978";15.000
"C057979";17.000
"C058019";11.000
"C058114";14.000
"C058115";12.000
"C058309";20.000
"C058348";9.000
"C058417";12.000
"C058485";10.000
"C058628";45.000
"C058648";17.000
"C058805";10.000
"C059011";12.000
"C059017";28.000
"C059229";11.000
"C059316";74.000
"C059528";15.000
"C059535";14.000
"C059537";5.000
"C059604";35.000
"C059645";16.000
"C059855";14.000
"C059894";51.000
"C059950";7.000
"C059951";5.000
"C059984";8.000
"C060195";49.000
"C060207";59.000
"C060225";12.000
"C060230";6.000
"C060258";16.000
"C060259";9.000
"C060260";11.000
"C060261";16.000
"C060272";1708.000
"C060314";6.000
"C060315";8.000
"C060316";7.000
"C060317";8.000
"C060329";321.000
"C060333";6.000
"C060334";6.000
"C060335";9.000
"C060339";6.000
"C060340";6.000
"C060564";15.000
"C060631";20.000
"C060635";8.000
"C060890";10.000
"C060891";12.000
"C060892";8.000
"C061192";20.220
"C061561";28.000
"C061619";11.000
"C061788";72.000
"D100010";18.000
"D100317";53.000
"D100326";46.000
"D100336";18.000
"D100580";13.000
"D100582";17.000
"D100601";8.000
"D100855";7.000
"D100858";11.000
"D100908";12.000
"D100944";31.000
"D100989";5.000
"D101624";44.000
"D101625";25.000
"D101631";6.000
"D101655";18.000
"D102183";6.000
"D102217";8.000
"D104575";16.000
"D105652";60.000
"D107181";45.000
"D107184";61.000
"D107189";31.000
"D107199";7.000
"D107200";24.000
"D107205";13.000
"D107206";32.000
"D107207";45.000
"D107208";51.000
"D107211";48.000
"D107212";62.000
"D107439";12.000
"D107529";38.000
"D107530";55.000
"D107531";33.000
"D107532";54.000
"D107533";67.000
"D107652";13.000
"D107653";6.000
"D107755";12.000
"D107952";5.000
"D107953";3.000
"D107965";10.000
"D107967";5.000
"D107974";29.000
"D107976";13.000
"D107978";8.000
"D107979";14.000
"D107981";6.000
"D107984";13.000
"D108008";7.000
"D110390";8.000
"D117934";8.000
"D117935";9.000
"D117950";13.000
"D150297";40.000
"D150305";49.000
"D150306";51.000
"D150336";21.000
"D150337";9.000
"D150341";6.000
"D150552";3.000
"D150751";6.000
"D152939";10.000
"D153139";4.000
"D153140";3.000
"D153141";3.000
"D153148";5.000
"D153149";5.000
"D153150";17.000
"D153151";6.000
"D153152";4.000
"D153153";4.000
"D153199";15.000
"D200328";21.000
"D200341";23.000
"D200459";27.000
"D200480";67.000
"D200484";22.000
"D200486";22.000
"D200529";26.000
"D200530";25.000
"D200535";15.000
"D200545";23.000
"D200573";9.000
"D200575";14.000
"D200634";21.000
"D201296";8.000
"D201297";16.000
"D201298";12.000
"D201299";10.000
"D201306";12.000
"D201355";25.000
"D201424";19.000
"D201425";14.000
"D201426";17.000
"D201427";10.000
"D201545";23.000
"D201546";9.000
"D201547";16.000
"D201548";7.000
"D201625";46.000
"D201907";260.000
"D201908";221.000
"D201909";90.000
"D201910";162.000
"D201911";55.000
"D201912";84.000
"D201913";21.000
"D201914";49.000
"D201915";120.000
"D201948";17.000
"D201971";11.000
"D202070";20.000
"D202173";4.000
"D203135";12.000
"D203218";20.000
"D203239";10.000
"D203240";6.000
"D203345";25.000
"D203626";67.000
"D203628";14.000
"D203703";13.000
"D203704";31.000
"D203705";9.000
"D203790";20.000
"D203799";6.000
"D205150";6.000
"D205205";63.000
"D205240";27.000
"D205469";24.000
"D205606";23.000
"D205801";4.000
"D205841";4.000
"D206447";19.000
"D206541";35.000
"D207366";6.000
"D207588";9.000
"D207744";24.000
"D207756";6.000
"D207820";16.000
"D207908";9.000
"D207981";6.000
"D207982";4.000
"D208829";88.000
"D209852";39.000
"D210517";7.000
"D210519";6.000
"D211479";10.000
"D211541";3.000
